iter	Passed	Remaining
547	5810	4792
548	5821	4782
549	5832	4772
550	5843	4761
551	5855	4752
552	5866	4741
553	5876	4730
554	5886	4720
555	5897	4709
556	5907	4698
557	5919	4688
558	5931	4679
559	5941	4668
560	5954	4659
561	5964	4648
562	5975	4638
563	5987	4628
564	5998	4618
565	6009	4607
566	6019	4596
567	6029	4585
568	6041	4576
569	6052	4566
570	6062	4554
571	6073	4544
572	6085	4535
573	6096	4524
574	6107	4514
575	6118	4503
576	6129	4493
577	6140	4482
578	6151	4472
579	6161	4461
580	6172	4451
581	6183	4441
582	6194	4430
583	6205	4420
584	6217	4410
585	6228	4400
586	6238	4389
587	6250	4379
588	6261	4368
589	6270	4357
590	6281	4346
591	6291	4336
592	6301	4325
593	6313	4315
594	6325	4305
595	6337	4295
596	6348	4285
597	6360	4275
598	6371	4265
599	6382	4254
600	6392	4243
601	6404	4233
602	6415	4223
603	6426	4213
604	6438	4203
605	6450	4193
606	6460	4182
607	6471	4172
608	6484	4163
609	6494	4152
610	6505	4141
611	6516	4131
612	6526	4120
613	6538	4110
614	6549	4100
615	6561	4090
616	6573	4080
617	6585	4070
618	6595	4059
619	6607	4049
620	6618	4039
621	6628	4028
622	6638	4017
623	6648	4006
624	6659	3995
625	6670	3985
626	6680	3974
627	6690	3963
628	6700	3952
629	6710	3941
630	6721	3930
631	6732	3920
632	6742	3909
633	6752	3898
634	6762	3887
635	6771	3875
636	6783	3865
637	6792	3854
638	6802	3843
639	6812	3832
640	6823	3821
641	6834	3810
642	6845	3800
643	6857	3790
644	6867	3779
645	6877	3768
646	6888	3758
647	6898	3747
648	6908	3736
649	6920	3726
650	6930	3715
651	6942	3705
652	6951	3694
653	6962	3683
654	6972	3672
655	6983	3662
656	6994	3651
657	7004	3640
658	7014	3629
659	7024	3618
660	7033	3607
661	7045	3597
662	7054	3585
663	7066	3575
664	7076	3565
665	7086	3553
666	7095	3542
667	7105	3531
668	7115	3520
669	7125	3509
670	7135	3498
671	7145	3487
672	7156	3477
673	7166	3466
674	7177	3455
675	7188	3445
676	7199	3434
677	7209	3424
678	7219	3413
679	7229	3402
680	7241	3392
681	7251	3381
682	7261	3370
683	7272	3359
684	7281	3348
685	7292	3337
686	7303	3327
687	7314	3316
688	7324	3306
